reply_count,frequency
0,1593881
1,65127
2,19856
3,9045
4,5478
5,3661
6,2719
7,2139
8,1731
9,1414
10,1151
11,961
12,849
13,698
14,603
15,547
16,487
17,421
18,375
19,334
20,281
21,252
22,259
23,243
24,204
25,204
26,162
27,161
28,151
29,147
30,129
31,119
32,84
33,103
34,96
35,97
36,70
37,79
38,86
39,70
40,69
41,67
42,61
43,60
44,48
45,49
46,66
47,49
48,40
49,35
50,26
51,37
52,29
53,32
54,45
55,31
56,38
57,30
58,39
59,30
60,22
61,27
62,25
63,26
64,25
65,18
66,14
67,18
68,22
69,21
70,19
71,21
72,21
73,20
74,15
75,12
76,16
77,4
78,12
79,13
80,16
81,13
82,7
83,15
84,12
85,7
86,15
87,14
88,12
89,9
90,2
91,17
92,6
93,8
94,12
95,10
96,20
97,7
98,13
99,13
100,8
101,9
102,11
103,5
104,6
105,7
106,9
107,3
108,8
109,4
110,8
111,9
112,7
113,3
114,6
115,2
116,12
117,8
118,5
119,6
120,4
121,2
122,4
123,6
124,3
125,11
126,4
127,6
128,5
129,5
130,6
131,3
132,8
133,5
134,3
135,4
136,3
137,4
138,2
139,4
140,2
141,2
142,5
143,2
144,1
145,2
146,1
147,2
148,3
149,4
150,2
151,4
152,1
153,3
154,3
155,3
156,3
157,1
158,5
159,1
160,4
161,1
162,1
163,1
164,2
165,3
166,3
167,6
168,3
169,4
170,1
171,2
172,3
173,4
174,2
175,2
176,3
178,1
179,1
180,2
182,2
184,3
185,2
186,1
187,7
188,2
189,3
190,4
191,3
192,1
193,2
194,2
195,4
197,1
198,1
201,1
203,1
204,1
205,2
208,2
209,1
211,2
212,3
214,3
215,2
216,1
217,2
220,3
222,1
223,1
224,2
226,3
228,4
229,1
233,2
234,4
236,2
237,1
238,2
239,3
242,1
244,1
245,2
246,1
247,3
250,1
253,1
254,1
255,1
257,2
259,4
260,2
261,1
262,1
263,1
264,1
266,1
268,2
269,2
270,2
272,2
273,1
275,1
278,2
279,2
286,1
287,1
288,1
289,1
290,1
293,1
295,1
296,1
300,1
303,1
305,1
309,1
311,1
312,2
313,1
315,1
316,1
317,2
319,1
320,1
325,1
326,1
327,1
331,2
334,2
336,2
337,2
338,1
340,2
341,2
343,1
344,3
347,3
348,2
350,2
352,2
353,1
355,2
360,1
363,1
364,1
366,1
367,2
368,1
375,3
377,1
380,1
382,1
383,1
388,1
394,1
399,1
400,1
402,2
408,2
409,2
413,1
417,1
419,1
420,1
424,1
425,1
426,1
430,1
431,1
434,2
438,2
441,2
442,1
445,1
446,1
448,1
450,1
451,1
454,1
456,1
460,2
461,1
464,2
466,1
470,1
472,1
474,1
479,1
480,1
493,1
504,1
516,2
540,1
566,1
591,1
626,1
655,1
672,1
676,2
693,1
721,1
723,1
729,1
785,1
797,1
803,1
833,1
874,1
962,1
984,1
998,1
999,1
1000,2
